sentence,frequency,code
burada hiçbir şey yok gibi,8,G5-L26-F8-2206020
ve ben biliyorum ve ben biliyorum,8,G6-L33-F8-2205994
ve belki başka bir şey daha,8,G6-L27-F8-2205969
ve belki ben,8,G3-L12-F8-2205961
burada her şey sorun,8,G4-L20-F8-2205818
kimse olmaz orada,8,G3-L17-F8-2205261
belki değil kesinlikle,8,G3-L22-F8-2205780
böyle çok daha iyi değil mi,8,G6-L27-F8-2205698
ve belki sizin için,8,G4-L19-F8-2205669
ben artık bir kız değilim,8,G5-L25-F8-2205601
ama bu gerçekten de oldu aslında,8,G6-L32-F8-2205566
ve başka bir şey daha söyle,8,G6-L27-F8-2205500
burada gerçek nedir,8,G3-L19-F8-2205477
ve başka bir şey yok,8,G5-L20-F8-2205405
sadece bu mu vardı,8,G4-L18-F8-2205283
zaten sorun da bu ya,8,G5-L20-F8-2206261
belki de seni seviyorum,8,G4-L23-F8-2206277
hadi git de al,8,G4-L14-F8-2206358
sana geri dur dedim,8,G4-L19-F8-2206403
ve bu da benden,8,G4-L15-F8-2208130
buradan başka bir yerde olmalı,8,G5-L30-F8-2207953
buradan bile değilim,8,G3-L20-F8-2207902
hadi güzel çocuk,8,G3-L16-F8-2207863
ve buraya geliyor,8,G3-L17-F8-2207861
sana değil ama,8,G3-L14-F8-2207810
buraya tamam mı,8,G3-L15-F8-2207796
sana değil ona dedim,8,G4-L20-F8-2207787
aslında harika bir şey,8,G4-L22-F8-2207653
hadi ama ne kadar,8,G4-L17-F8-2207634
ama güzel bir şey,8,G4-L17-F8-2207472
herkes yardım ediyor,8,G3-L20-F8-2207365
bekle bekle bak,8,G3-L15-F8-2207177
hadi ama o kadar da kötü değilim,8,G7-L32-F8-2206907
ama bu işi de yapmak istiyorum,8,G6-L30-F8-2206846
ama güzel bir tane,8,G4-L18-F8-2206786
belki de senden fazla,8,G4-L21-F8-2206736
zaten seviyorum,8,G2-L15-F8-2206628
ve bu adam da,8,G4-L13-F8-2206627
ben aslında hiç,8,G3-L15-F8-2205282
burada gel,8,G2-L10-F8-2205258
ve buraya da,8,G3-L12-F8-2208306
belki bu iyi oldu,8,G4-L17-F8-2202401
bir daha asla görmek istemiyorum,8,G5-L32-F8-2202718
belki de ben sadece,8,G4-L19-F8-2202657
sadece gel hadi,8,G3-L15-F8-2202613
sadece gel buraya,8,G3-L17-F8-2202609
sadece gel ve beni al,8,G5-L21-F8-2202596
burada işte bak,8,G3-L15-F8-2202595
hemen şu şeyi yere bırak,8,G5-L24-F8-2202539
burada bir yer olmalı,8,G4-L21-F8-2202453
burada bir yer var,8,G4-L18-F8-2202452
burada bir yerde mi,8,G4-L19-F8-2202356
burada geldi,8,G2-L12-F8-2205212
sadece geri al,8,G3-L14-F8-2202299
sadece geri dur,8,G3-L15-F8-2202297
böyle olur zaten,8,G3-L16-F8-2202269
kimse hiçbir şey,8,G3-L16-F8-2202111
ve değilim,8,G2-L10-F8-2202032
sana şimdi olmaz dedim,8,G4-L22-F8-2201944
sadece burada var,8,G3-L17-F8-2201870
kimse mi var,8,G3-L12-F8-2201853
burada hadi gel,8,G3-L15-F8-2201851
ama geç değil,8,G3-L13-F8-2202736
sadece eve gidelim tamam mı,8,G5-L27-F8-2202758
ki değil,8,G2-L8-F8-2202936
ki bence bu daha doğru,8,G5-L22-F8-2203116
böyle yapmak istemiyorum,8,G3-L24-F8-2205016
bir daha bunu yapma tamam mı,8,G6-L28-F8-2204941
aslında onları bana şimdi ver,8,G5-L29-F8-2204882
zaman burada yok bile,8,G4-L21-F8-2204656
zaman diye bir şey yok,8,G5-L22-F8-2204508
belki de şu an iyi bir zaman değil,8,G8-L34-F8-2204488
belki de şimdi,8,G3-L14-F8-2204484
burası bizim artık,8,G3-L18-F8-2204243
hadi bana gel bakalım,8,G4-L21-F8-2204086
hadi bana baba de,8,G4-L17-F8-2204013
belki dedim belki,8,G3-L17-F8-2203907
herkes şimdi daha da güzel,8,G5-L26-F8-2203718
sana biraz küçük değil mi,8,G5-L25-F8-2203650
sana bir şeyler oldu,8,G4-L20-F8-2203410
hadi sorun bakalım,8,G3-L18-F8-2203354
böyle ve böyle,8,G3-L14-F8-2203323
böyle sonra böyle ve böyle,8,G5-L26-F8-2203286
sadece evet mi,8,G3-L14-F8-2203256
burada istemiyorum seni,8,G3-L23-F8-2203164
hadi ama yapma lütfen,8,G4-L21-F8-2208180
aslında o bir kız,8,G4-L17-F8-2208395
ben artık yok,8,G3-L13-F8-2201529
artık sorun değil anne,8,G4-L22-F8-2212867
belki çocuklar,8,G2-L14-F8-2213545
belki çok kötü,8,G3-L14-F8-2213502
bir an önce orada olmak istiyorum,8,G6-L33-F8-2213073
sadece ve sadece bir tane mi,8,G6-L28-F8-2213057
sana ne lazım biliyorum,8,G4-L23-F8-2213046
sana mi,8,G2-L7-F8-2212980
sana ne kadar,8,G3-L13-F8-2212962
ve bir ki üç,8,G4-L12-F8-2212901
sana ne olacak biliyor musun,8,G5-L28-F8-2212891
hadi harika,8,G2-L11-F8-2212692
bekle bu benim,8,G3-L14-F8-2211943
sana hiç yok,8,G3-L12-F8-2212458
sana hiç hayır dedim mi,8,G5-L23-F8-2212372
sana ile buraya gel,8,G4-L19-F8-2212261
aslında o kadar da iyi değil,8,G6-L28-F8-2212191
ve büyük para,8,G3-L13-F8-2212182
hadi ama büyük bir şey bu,8,G6-L25-F8-2212102
belki de onlara gereken iyi bir,8,G6-L31-F8-2211998
bırak beni bırak dedim,8,G4-L22-F8-2211985
bırak beni hayır,8,G3-L16-F8-2211979
bir başka selam,8,G3-L15-F8-2213671
ve bu önemli değil mi,8,G5-L21-F8-2213787
belki ne demek,8,G3-L14-F8-2213790
hadi biliyorsun işte,8,G3-L20-F8-2213903
belki sonra baba,8,G3-L16-F8-2215095
buraya öyle geldi,8,G3-L17-F8-2215089
hadi gidip bir şeyler için,8,G5-L26-F8-2215001
sadece üç saat,8,G3-L14-F8-2214820
sadece şu şekilde olabilir,8,G4-L26-F8-2214724
hadi iyi bir kız ol,8,G5-L19-F8-2214696
sadece üç dakika var,8,G4-L20-F8-2214581
ve biraz para,8,G3-L13-F8-2214549
hadi hayır mı,8,G3-L13-F8-2214386
ve büyük an,8,G3-L11-F8-2214380
sadece şimdi olmaz,8,G3-L18-F8-2214297
sana karşı değil,8,G3-L16-F8-2214167
ve bu çok uzun,8,G4-L14-F8-2214104
sana bak dedim,8,G3-L14-F8-2214092
ve bu çok güzel olmalı,8,G5-L22-F8-2214091
aslında ne olduğunu biliyorum,8,G4-L29-F8-2214068
burası gerçek değil mi,8,G4-L22-F8-2214001
aslında kötü bir adam değil,8,G5-L27-F8-2213982
ve bu önemli çünkü,8,G4-L18-F8-2213942
bekle biliyor musun,8,G3-L19-F8-2211964
bunu yapma bu yanlış,8,G4-L20-F8-2211935
ve bütün olan bu,8,G4-L16-F8-2208410
sana hayır demek çok zor,8,G5-L24-F8-2208741
herkes ama herkes,8,G3-L17-F8-2209208
hadi ama hadi hadi hadi,8,G5-L23-F8-2209110
belki de sadece iki kişi,8,G5-L24-F8-2209068
buradan da büyük bir evet,8,G5-L25-F8-2209053
sana her şey için teşekkür etmek istiyorum,8,G7-L42-F8-2208996
hadi ama harika olacak,8,G4-L22-F8-2208944
zaten yer yok,8,G3-L13-F8-2208893
buradan değil bu,8,G3-L16-F8-2208863
hadi ama iyi bir şeyler ister misin,8,G7-L35-F8-2208753
sana hazır değilim,8,G3-L18-F8-2208740
bırak beni yardım edin,8,G4-L22-F8-2211869
hadi ama izin ver,8,G4-L17-F8-2208704
hadi hadi hemen hemen,8,G4-L21-F8-2208666
sana hep dedim,8,G3-L14-F8-2208659
hadi hadi oluyor,8,G3-L16-F8-2208616
hadi ama herkes biliyor,8,G4-L23-F8-2208587
bir bay,8,G2-L7-F8-2208563
hadi ama gel gel,8,G4-L16-F8-2208513
hadi hadi hadi hadi devam et,8,G6-L28-F8-2208490
ve bütün her şey,8,G4-L16-F8-2208461
ben daha fazla ederim,8,G4-L21-F8-2209514
bırak şunu yere tamam mı,8,G5-L24-F8-2209811
bırak şunu ve gel buraya,8,G5-L24-F8-2209812
bırak onu ne yapıyorsun,8,G4-L23-F8-2209964
bekle bu iyi bir şey mi,8,G6-L23-F8-2211748
ben büyük bir adam değilim,8,G5-L26-F8-2211648
bırak artık dostum,8,G3-L18-F8-2211523
bırak artık anne,8,G3-L16-F8-2211522
bırak artık hadi,8,G3-L16-F8-2211497
hem sen ne biliyorsun ki,8,G5-L24-F8-2211453
bekle beni tatlım,8,G3-L17-F8-2211419
hakkında ne var,8,G3-L15-F8-2211352
hakkında pek bir şey yok,8,G5-L24-F8-2211286
kişi değilim,8,G2-L12-F8-2211241
kişi bir doktor değil,8,G4-L21-F8-2211227
kişi olarak,8,G2-L11-F8-2211180
bekle biraz işte bak,8,G4-L20-F8-2210756
bir değil iki kez,8,G4-L17-F8-2210697
bırak onu lütfen bırak,8,G4-L22-F8-2210452
bunu ve bunu,8,G3-L12-F8-2210185
aman çok üzgünüm,8,G3-L16-F8-2210006
bırak onları tamam mı,8,G4-L21-F8-2210005
bırak onu gel buraya,8,G4-L20-F8-2209995
sadece bu yüzden,8,G3-L16-F8-2201583
ama bu gerçek değil mi,8,G5-L22-F8-2201364
o ne olabilir,8,G3-L13-F8-2189304
elbette ki bunu biliyorum,8,G4-L25-F8-2192678
elbette yapıyorsun,8,G2-L18-F8-2193148
hayır pek değil aslında,8,G4-L23-F8-2193130
elbette var efendim,8,G3-L19-F8-2193108
o sadece bir çocuk değil,8,G5-L24-F8-2193095
o sadece bir çocuk hepsi bu,8,G6-L27-F8-2193094
o sadece o değil,8,G4-L16-F8-2193018
elbette öyle olmalı,8,G3-L19-F8-2192835
evet onun için de üzgünüm,8,G5-L25-F8-2192774
ne olmak için,8,G3-L13-F8-2192738
ne olduğunu yani,8,G3-L16-F8-2192653
o sen misin değil misin,8,G5-L23-F8-2192289
elbette istiyorum baba,8,G3-L22-F8-2192580
elbette istiyorum ama,8,G3-L21-F8-2192575
elbette kimse yok,8,G3-L17-F8-2192572
evet onunla ilgili her şeyi biliyorum,8,G6-L37-F8-2192517
elbette yardım ederim eski dostum,8,G5-L33-F8-2192497
bu adam sana iyi geldi,8,G5-L22-F8-2192478
ne olur mu,8,G3-L10-F8-2192440
evet onu ben de seviyorum,8,G5-L25-F8-2192420
bu adam olabilir,8,G3-L16-F8-2192348
ne olur ya,8,G3-L10-F8-2193162
ne olur söyle bana,8,G4-L18-F8-2193217
ama başka şeyler var ki,8,G5-L23-F8-2193239
ne olur baba,8,G3-L12-F8-2193335
herkes öyle olduğunu biliyor,8,G4-L28-F8-2194833
hadi baba gerçekten,8,G3-L19-F8-2194828
buraya işte,8,G2-L11-F8-2194783
o para lazım bana,8,G4-L17-F8-2194584
elbette işte,8,G2-L12-F8-2194327
evet onunla git,8,G3-L15-F8-2194294
o oluyor,8,G2-L8-F8-2194113
evet oldu değil mi,8,G4-L18-F8-2194094
o onları söyledi,8,G3-L16-F8-2194054
ama bunlar çok fazla,8,G4-L20-F8-2193976
evet oldu tabii,8,G3-L15-F8-2193850
evet olabilir olabilir,8,G3-L22-F8-2193828
şimdi eve geliyor musun,8,G4-L23-F8-2193786
o para aslında,8,G3-L14-F8-2193739
o para benim değil,8,G4-L18-F8-2193737
evet oluyor böyle şeyler,8,G4-L24-F8-2193713
bu adam yeni,8,G3-L12-F8-2193454
elbette sorun değil sorun değil,8,G5-L31-F8-2193398
o sadece sana yardım etmek istiyor,8,G6-L34-F8-2193378
evet onun için zor olmalı,8,G5-L25-F8-2192303
elbette ki ona,8,G3-L14-F8-2192270
hemen yarın,8,G2-L11-F8-2194961
bu adam bir şeyler biliyor,8,G5-L26-F8-2190217
ama başka çocuklar olacak,8,G4-L25-F8-2190884
evet onlar senin,8,G3-L16-F8-2190803
bu adam iyi değil,8,G4-L17-F8-2190644
bu adam için mi,8,G4-L15-F8-2190633
evet onları biliyorum,8,G3-L21-F8-2190622
biraz var evet,8,G3-L14-F8-2190476
evet olduğu gibi,8,G3-L16-F8-2190445
biraz var dedim,8,G3-L15-F8-2190433
bakın sizi,8,G2-L10-F8-2190425
evet ondan söz ediyorum,8,G4-L23-F8-2190213
ne olur olmaz diye,8,G4-L18-F8-2192253
bir hafta belki,8,G3-L15-F8-2190033
şimdi eğer başka bir şey yoksa,8,G6-L30-F8-2189999
ben de vardı,8,G3-L12-F8-2189930
evet ona ver,8,G3-L12-F8-2189867
bu adam hiç kimse,8,G4-L17-F8-2189783
bakın çocuklar üzgünüm,8,G3-L22-F8-2189767
o ne zaman oluyor,8,G4-L17-F8-2189506
o ne zaman olur,8,G4-L15-F8-2189497
o ne oluyor ki,8,G4-L14-F8-2189321
çocuklar biliyorum,8,G2-L18-F8-2190900
sen burada dur olur mu,8,G5-L22-F8-2190907
bir hafta istiyorum,8,G3-L19-F8-2190967
şu oluyor,8,G2-L9-F8-2190979
uzun bir gün olmalı,8,G4-L19-F8-2192171
uzun bir gün değil mi,8,G5-L21-F8-2192124
uzun bir gün olacak gibi,8,G5-L24-F8-2192119
hem de bütün gece,8,G4-L17-F8-2192035
uzun bir gece daha mı,8,G5-L21-F8-2191899
uzun bir gece mi,8,G4-L16-F8-2191890
çocuklar daha,8,G2-L13-F8-2191823
çocuklar daha çok var,8,G4-L21-F8-2191815
çocuklar geri geliyor,8,G3-L21-F8-2191776
artık orada değil mi,8,G4-L20-F8-2191725
çocuklar bir şeyler oluyor,8,G4-L26-F8-2191538
sen bunu biliyorsun çünkü,8,G4-L25-F8-2191478
sen burada mısın hâlâ,8,G4-L21-F8-2191432
sen bunu istiyorsun,8,G3-L19-F8-2191326
ve işte bak şimdi,8,G4-L17-F8-2191276
ve işte sadece sizin için,8,G5-L25-F8-2191150
çocuklar gidelim hadi,8,G3-L21-F8-2191104
şu nereden,8,G2-L10-F8-2191103
sen burada beni bekle,8,G4-L21-F8-2190983
buraya iyi bak,8,G3-L14-F8-2194850
herkes önemli,8,G2-L13-F8-2194993
burada güzel bir,8,G3-L16-F8-2201288
burası sana göre değil tatlım,8,G5-L29-F8-2199339
burası sanırım,8,G2-L14-F8-2200275
burası da senin,8,G3-L15-F8-2200030
ve bunlar gerçek değil,8,G4-L22-F8-2199897
hadi böyle böyle,8,G3-L16-F8-2199865
belki hiçbir şey olmaz,8,G4-L22-F8-2199755
belki hazır belki değil,8,G4-L23-F8-2199571
belki hepsi,8,G2-L11-F8-2199568
burası olmaz mı,8,G3-L15-F8-2199367
hadi bu işte,8,G3-L12-F8-2199357
burası harika olacak,8,G3-L20-F8-2199015
sana başka ne,8,G3-L13-F8-2198286
burası güzel gibi,8,G3-L17-F8-2198910
belki fazla uzun,8,G3-L16-F8-2198847
buraya gel benimle,8,G3-L18-F8-2198822
belki o şekilde değil,8,G4-L21-F8-2198813
buraya biraz ister misin,8,G4-L24-F8-2198709
burası hiç iyi değil,8,G4-L20-F8-2198473
buraya gel gel dedim,8,G4-L20-F8-2198357
zaman lazım onlara,8,G3-L18-F8-2198344
buraya dedim,8,G2-L12-F8-2198328
hadi bunu da,8,G3-L12-F8-2200284
burası ne biliyor musun,8,G4-L23-F8-2200427
belki ilk önce sen,8,G4-L18-F8-2200482
hadi büyük adam hadi gidelim,8,G5-L28-F8-2200494
sadece herkes olacak hep birlikte,8,G5-L33-F8-2201211
sadece görmek lazım,8,G3-L19-F8-2201135
böyle olacak değil mi,8,G4-L21-F8-2201106
belki de bir kaç hafta,8,G5-L22-F8-2200998
ve devam et,8,G3-L11-F8-2200959
bir daha asla böyle yapma,8,G5-L25-F8-2200931
bir daha asla böyle olmaz,8,G5-L25-F8-2200923
sana öyle,8,G2-L9-F8-2200902
böyle miyim ben,8,G3-L15-F8-2200774
böyle mı olacak,8,G3-L15-F8-2200744
belki de benimle birlikte,8,G4-L25-F8-2200684
ki bu iyi,8,G3-L9-F8-2200672
bir daha asla seni görmek istemiyorum,8,G6-L37-F8-2200626
sadece git buradan lütfen,8,G4-L25-F8-2200555
ve ben de istiyorum,8,G4-L19-F8-2200539
sadece git git git,8,G4-L18-F8-2200537
böyle oldu şimdi demek,8,G4-L22-F8-2200528
bir daha asla yapmak istemiyorum,8,G5-L32-F8-2200527
böyle olduğu zaman,8,G3-L18-F8-2200518
ve bu yüzden bu benim için çok zor,8,G8-L34-F8-2198297
sana başka neler söyledi,8,G4-L24-F8-2198277
sana bunu bir daha yapma dedim,8,G6-L30-F8-2195031
burası küçük çocuklar için,8,G4-L26-F8-2195782
ve bu gel,8,G3-L9-F8-2196262
ve buna göre,8,G3-L12-F8-2196198
burası çok kötü çok,8,G4-L19-F8-2196183
ve burada değil,8,G3-L15-F8-2196143
hemen yardım edin,8,G3-L17-F8-2196121
belki iki saat,8,G3-L14-F8-2196033
burası kötü değil tatlım,8,G4-L24-F8-2196031
belki sadece birlikte olmak için,8,G5-L32-F8-2195964
burası küçük yer,8,G3-L16-F8-2195790
hemen söyle ne olduğunu,8,G4-L23-F8-2195714
buraya da değil,8,G3-L15-F8-2198212
hadi bize gidelim,8,G3-L17-F8-2195668
burası yeni,8,G2-L11-F8-2195572
hadi bakalım git artık,8,G4-L22-F8-2195451
hemen oraya,8,G2-L11-F8-2195423
hadi bakalım güzel çocuk,8,G4-L24-F8-2195418
zaten biliyorsun değil mi,8,G4-L25-F8-2195411
ve bu işte de pek iyi değilim,8,G7-L29-F8-2195259
ve bu iyi bir şey değil,8,G6-L23-F8-2195189
hadi gel artık gidelim,8,G4-L22-F8-2195135
hadi gel sen benimle,8,G4-L20-F8-2196274
ama bu kişi,8,G3-L11-F8-2196463
hadi bana ver şunu,8,G4-L18-F8-2196612
sana bir tane bana üç tane,8,G6-L26-F8-2196648
buraya daha yeni geldi,8,G4-L22-F8-2198196
burası daha güzel değil mi,8,G5-L26-F8-2198163
ve bu var,8,G3-L9-F8-2198158
hadi dostum al şunu,8,G4-L19-F8-2198098
sana bile mi,8,G3-L12-F8-2197929
burası da değil,8,G3-L15-F8-2197825
buraya gel olur mu,8,G4-L18-F8-2197754
sana da kötü bir şey olur,8,G6-L25-F8-2197544
sana da oluyor değil mi,8,G5-L23-F8-2197461
buraya kadar geliyor,8,G3-L20-F8-2197380
hemen ona yardım et,8,G4-L19-F8-2197235
buraya nasıl geldi hiç bilmiyorum,8,G5-L33-F8-2197141
sana büyük bir tane,8,G4-L19-F8-2197002
hadi dışarı hadi,8,G3-L16-F8-2196873
hadi dışarı çocuklar,8,G3-L20-F8-2196853
hadi bayan ver şunu,8,G4-L19-F8-2196834
ve bunun için de gerçekten üzgünüm,8,G6-L34-F8-2196750
sana bir tane lazım,8,G4-L19-F8-2196707
ve bu para,8,G3-L10-F8-2196689
ve bu bir sorun çünkü,8,G5-L21-F8-2215284
ve bu bir sorun,8,G4-L15-F8-2215398
sana doğru geliyor mu bu,8,G5-L24-F8-2215402
hadi mutlu ol,8,G3-L13-F8-2232237
sadece beni bekle tamam mı,8,G5-L26-F8-2232919
ve bir doktor,8,G3-L13-F8-2232903
burada ya da başka bir yerde,8,G6-L28-F8-2232697
sadece söyle onlara,8,G3-L19-F8-2232681
ve bir de o,8,G4-L11-F8-2232632
sana olur,8,G2-L9-F8-2232482
sana onu bana ver dedim,8,G5-L23-F8-2232474
sadece para işte,8,G3-L16-F8-2232293
sadece para senin bile değil,8,G5-L28-F8-2232256
sadece tamam,8,G2-L12-F8-2232107
ve daha çok var,8,G4-L15-F8-2231651
sadece tam olarak,8,G3-L17-F8-2232104
böyle bir an için,8,G4-L17-F8-2232053
herkes oraya,8,G2-L12-F8-2232002
herkes senden iyi olduğunu biliyor,8,G5-L34-F8-2231856
sadece seninle ilgili değil,8,G4-L27-F8-2231794
hadi lütfen yapma,8,G3-L17-F8-2231746
burada size göre bir şey yok,8,G6-L28-F8-2231719
burada size iş yok,8,G4-L18-F8-2231698
ve daha çok kadın,8,G4-L17-F8-2231686
sadece ben sadece,8,G3-L17-F8-2232944
ve baba ben de seni seviyorum,8,G6-L29-F8-2233039
kimse yok mu yani,8,G4-L17-F8-2233058
hadi çok geç oldu,8,G4-L17-F8-2233075
hemen değil ama,8,G3-L15-F8-2234413
belki bu o kadar kötü bir şey olmaz,8,G8-L35-F8-2234367
ama bu gece değil öyle mi,8,G6-L25-F8-2234148
hadi çocuklar devam,8,G3-L19-F8-2234070
sadece bir kontrol,8,G3-L18-F8-2234066
sadece bir kişi değil mi,8,G5-L24-F8-2234031
sadece bir iki değil,8,G4-L20-F8-2233884
sadece bir kişi öyle değil mi,8,G6-L29-F8-2233878
bir daha tamam mı,8,G4-L17-F8-2233765
bir daha tekrar,8,G3-L15-F8-2233734
hadi çok uzun,8,G3-L13-F8-2233694
bir daha sizi görmek istemiyorum,8,G5-L32-F8-2233653
sadece bir bakalım,8,G3-L18-F8-2233609
sadece benimle ol,8,G3-L17-F8-2233388
burada benimle ilgili bir şey var,8,G6-L33-F8-2233353
belki birkaç saat belki birkaç dakika bilmiyorum,8,G7-L48-F8-2233316
sadece ben kontrol ederim,8,G4-L25-F8-2233267
sadece benim mi,8,G3-L15-F8-2233249
burada bir dakika önce,8,G4-L22-F8-2233193
sadece seni görmek istiyor,8,G4-L26-F8-2231654
hemen hemen böyle,8,G3-L17-F8-2231623
burada bizim için bir şey yok,8,G6-L29-F8-2234604
ama evet öyle,8,G3-L13-F8-2229061
sadece onlara söyle,8,G3-L19-F8-2229771
bir bütün,8,G2-L9-F8-2229699
sadece ona söyle,8,G3-L16-F8-2229681
sana sonra teşekkür ederim,8,G4-L26-F8-2229549
burada sana yer yok tamam mı,8,G6-L28-F8-2229542
ama söyle bir şey var,8,G5-L21-F8-2229539
ve biliyor musun neden,8,G4-L22-F8-2229526
ve biliyor musun ne var,8,G5-L23-F8-2229525
ve de benim için,8,G4-L16-F8-2229380
çok fazla para istiyorsun,8,G4-L25-F8-2229020
sadece seninle olmak için,8,G4-L25-F8-2231617
peki ya diğer çocuk,8,G4-L19-F8-2228962
aslında bugün,8,G2-L13-F8-2228363
peki şu ne,8,G3-L10-F8-2228259
peki şu nasıl olur,8,G4-L18-F8-2228258
gel bakalım sen de,8,G4-L18-F8-2228225
her şeyi söyle ona,8,G4-L18-F8-2228163
peki öyle değil mi,8,G4-L18-F8-2228065
şu güzel bayan var ya,8,G5-L21-F8-2228057
peki öyle miyim,8,G3-L15-F8-2228051
sadece para için değil,8,G4-L22-F8-2229892
sadece para istiyorum,8,G3-L21-F8-2229897
burada olsun,8,G2-L12-F8-2229921
sadece onu mutlu etmek istiyorum,8,G5-L32-F8-2229971
hemen hemen bu kadar,8,G4-L20-F8-2231616
bir an önce eve gel,8,G5-L19-F8-2231434
sadece tek bir gerçek var,8,G5-L25-F8-2231367
ve bir hafta sonra,8,G4-L18-F8-2231309
bir bir iki,8,G3-L11-F8-2231283
sadece tek bir şey dedim,8,G5-L24-F8-2231282
sadece teşekkür et ve git,8,G5-L25-F8-2231209
herkes seni görmek için geldi,8,G5-L29-F8-2231126
sadece tek kişi,8,G3-L15-F8-2231090
sadece tekrar ediyorum,8,G3-L22-F8-2231065
ama bu hepsi değil,8,G4-L18-F8-2230966
sadece sen ve ben değil mi,8,G6-L26-F8-2230699
sadece sen misin,8,G3-L16-F8-2230672
burada seninle birlikte,8,G3-L23-F8-2230668
sana söyle,8,G2-L10-F8-2230506
belki de gereken bu,8,G4-L19-F8-2230366
aslında olacak şu,8,G3-L17-F8-2230353
sadece sadece bir tane tamam mı,8,G6-L31-F8-2230349
aslında olan şu,8,G3-L15-F8-2230206
burada bizim için hiçbir şey yok,8,G6-L32-F8-2234418
burada değil orada,8,G3-L18-F8-2234764
buraya ve,8,G2-L9-F8-2215425
belki de bu yüzden oldu,8,G5-L23-F8-2238001
burada olmak istemiyorum ki,8,G4-L27-F8-2239057
ha öyle yani,8,G3-L12-F8-2238924
böyle bir şeyi asla,8,G4-L19-F8-2238823
sadece o kadar da değil,8,G5-L23-F8-2238741
burada olmak zorunda mısın,8,G4-L26-F8-2238510
ve ben sana yardım etmek istiyorum,8,G6-L34-F8-2238238
ve ben sen değilim,8,G4-L18-F8-2238194
burada mı ki,8,G3-L12-F8-2238191
sana yardım etmek için burada,8,G5-L29-F8-2238114
burada ne oluyor bakalım,8,G4-L24-F8-2237971
burada kaç kız var,8,G4-L18-F8-2237446
böyle biri mi olmak istiyorsun,8,G5-L30-F8-2237953
böyle biri misin,8,G3-L16-F8-2237952
böyle biri olmak istemiyorum,8,G4-L28-F8-2237943
böyle dedim işte,8,G3-L16-F8-2237885
burada mı yapmak istiyorsun,8,G4-L27-F8-2237824
herkes neden burada olduğunu biliyor,8,G5-L36-F8-2237820
hemen hemen hepsi bu,8,G4-L20-F8-2237806
burada mutlu değil misiniz,8,G4-L26-F8-2237695
ha olur tabii,8,G3-L13-F8-2237561
burada olmak için saat çok geç oldu,8,G7-L35-F8-2239107
burada olmak çok güzel çocuklar,8,G5-L31-F8-2239111
burada kötü bir şey yok,8,G5-L23-F8-2239310
böyle gidelim,8,G2-L13-F8-2239402
sadece son var,8,G3-L14-F8-2240664
belki de harika biri,8,G4-L20-F8-2240506
sadece seni çok seviyorum,8,G4-L25-F8-2240424
sadece sorun benim,8,G3-L18-F8-2240167
ama bu hiç,8,G3-L10-F8-2240145
sadece ne kadar,8,G3-L15-F8-2240053
sana teşekkür etmek istiyor,8,G4-L27-F8-2239939
hadi onu bırak,8,G3-L14-F8-2239894
sana tekrar et dedim,8,G4-L20-F8-2239886
sadece mutlu ol,8,G3-L15-F8-2239871
böyle bir yer mi,8,G4-L16-F8-2239839
belki de daha fazla olacak,8,G5-L26-F8-2239823
böyle bir yerde bile güzel olabilir,8,G6-L35-F8-2239808
ve beni hiç,8,G3-L11-F8-2239726
böyle bir yer gerçekten var mı,8,G6-L30-F8-2239694
sadece insan olabilir misin,8,G4-L27-F8-2239558
ve de şu,8,G3-L8-F8-2239466
burada olduğunu biliyor değil mi,8,G5-L32-F8-2239416
ve ben ne olduğunu bilmiyorum,8,G5-L29-F8-2239409
herkes nerede bilmiyorum,8,G3-L24-F8-2237513
sana çok teşekkür ediyorum,8,G4-L26-F8-2237423
zor olan da bu zaten,8,G5-L20-F8-2234838
burada da var mı,8,G4-L16-F8-2235298
zor biri değil mi,8,G4-L17-F8-2235763
sadece biraz tamam mı,8,G4-L21-F8-2235728
zor gerçekten,8,G2-L13-F8-2235677
burada da burada da,8,G4-L19-F8-2235624
sadece biraz daha zaman ver,8,G5-L27-F8-2235574
zor gibi,8,G2-L8-F8-2235497
burada bu şekilde olmaz,8,G4-L23-F8-2235468
hadi yarın gidelim,8,G3-L18-F8-2235428
sadece biraz küçük,8,G3-L18-F8-2235338
sadece biraz fazla,8,G3-L18-F8-2235282
sadece iki kişi misiniz,8,G4-L23-F8-2237390
zor olmak zorunda zaten,8,G4-L23-F8-2235195
sadece bir yardım,8,G3-L17-F8-2235145
sadece bir tane daha lütfen,8,G5-L27-F8-2235138
sadece bir tane mi lazım,8,G5-L24-F8-2235051
sadece bir tane sadece bir tane,8,G6-L31-F8-2235021
sadece bir tane söyle,8,G4-L21-F8-2235020
burada bu işi mi yapıyorsun,8,G5-L27-F8-2234953
bir daha mı asla,8,G4-L16-F8-2234859
zor olan da bu,8,G4-L14-F8-2234839
ben aynı adam değilim,8,G4-L21-F8-2235835
burada demek,8,G2-L12-F8-2235869
burada doktor yok mu,8,G4-L20-F8-2236141
sadece birkaç şey mi anne,8,G5-L25-F8-2236158
böyle iyi işte,8,G3-L14-F8-2237324
ve ben hazır değilim,8,G4-L20-F8-2237318
ama sen hâlâ,8,G3-L12-F8-2237295
herkes mi biliyor,8,G3-L17-F8-2237275
hadi sadece bir kez,8,G4-L19-F8-2237223
