threegram,frequency
önce şunu da,13
olsun ki kimse,13
benimle birlikte buraya,13
mutlu son olduğunu,13
olsun ki kötü,13
değil mi gibi,13
yani daha mutlu,13
neden şimdi ve,13
özür dilerim bütün,13
hey hadi bu,13
olsun ki iyi,13
teşekkürler bir tane,13
olsun ki her,13
gel buraya dur,13
iyi biraz ister,13
gel bir yere,13
çünkü burası şu,13
sen buraya bunun,13
tabii tam olarak,13
seninle bir şekilde,13
iyi bir özür,13
gün nasıl olacak,13
için o sana,13
sonra ilk ne,13
ama biz harika,13
için seni başka,13
mu bu kadar,13
sanırım siz ona,13
senin daha bir,13
dakika içinde diğer,13
zaman sanırım size,13
de yanlış adam,13
sizin de şunu,13
da benden size,13
ama sen git,13
hadi gel burada,13
çünkü benden hiçbir,13
yani bak bu,13
sanırım siz zaten,13
sanırım size daha,13
var çünkü çünkü,13
eski dostum benim,13
var çünkü sana,13
seninle benim aynı,13
başka neler hakkında,13
ama benim adam,13
bugün sana ondan,13
şekilde mi iş,13
hiçbir şekilde benden,13
önce üç dakika,13
daha fazla hepsi,13
bir adam ister,13
ama neden herkes,13
ama gerçekten hoş,13
şey burada dostum,13
olarak böyle olacak,13
eski dostum bayan,13
bize bir izin,13
ve yemek istiyorum,13
efendim bu iki,13
şey de buna,13
aman tanrım onlara,13
hiç sorun var,13
önemli mi yoksa,13
yüzden seni dışarı,13
onları ve tekrar,13
olduğunu kaç kişi,13
seni senin kendini,13
başka bir hoş,13
gerçekten siz mi,13
bu o çocuklar,13
yüzden mi yine,13
ama seni bana,13
dakika bu o,13
vardı onun da,13
şeyi gördüm işte,13
en büyük yanlış,13
bana bütün bir,13
vardı ve ondan,13
onları ve git,13
istiyor ve seni,13
de zor eve,13
gerçekten orada olan,13
için sana birini,13
önemli olan dışarı,13
bir anda bizi,13
sorun nedir tek,13
tek seni değil,13
aslında şu şekilde,13
sorun oluyor değil,13
biliyorum ki biz,13
gördüm ve bence,13
oh tamam evet,13
şey olabilir de,13
sen biliyorsun benden,13
oh sanırım bir,13
gerçekten en mutlu,13
iki şey önemli,13
şey demek yok,13
yüzden mi yardım,13
yüzden senden çok,13
iki şekilde olabilir,13
bu olabilir tabii,13
anne baba var,13
nasıl oluyor biliyorsun,13
gördüm ve oraya,13
yüzden senden yardım,13
aman tanrım onun,13
yeni yer için,13
en güzel et,13
bilmiyorum sen biliyor,13
ama biri sana,13
anne baba yeni,13
sizi öyle mi,13
tanrım orada ne,13
ama zaten buna,13
sen benim tabii,13
iki şeyi daha,13
en iyi için,13
iki şey olur,13
ben gerçekten bunun,13
nasıl olur tatlım,13
sadece sorun olmaz,13
için onları kontrol,13
için onları hemen,13
hey dostum özür,13
sen benim şu,13
biliyorsun bu işe,13
aman tanrım onlar,13
şeyler ne böyle,13
olduğunu nasıl da,13
zaman büyük iş,13
biliyorum ki birlikte,13
oh size bir,13
buna bir iş,13
hayır tekrar kontrol,13
gerçekten fazla bir,13
şey vardı ondan,13
beni üç hafta,13
tam o gece,13
hey neden kendi,13
yemek var ne,13
bu nedir şimdi,13
her yardım bizim,13
ama ya tekrar,13
sen bu güzel,13
sorun sadece onu,13
nasıl olduğunu siz,13
de yok tabii,13
senin ve eski,13
benim burada neden,13
şey kim olduğunu,13
bu o beni,13
ve onu niye,13
de senin mi,13
ama orada yeni,13
çok gibi geliyor,13
ama bugün size,13
en iyi yapma,13
gerçek para için,13
hep benimle olmak,13
anne anne bana,13
önemli şey güzel,13
ben hâlâ ilk,13
bu nedir bana,13
gördüm sonra seni,13
o o gece,13
şey için iki,13
de tam ne,13
ve onları yerde,13
hepsi tam mı,13
oh tamam bir,13
için sana geri,13
yüzden mi geldi,13
önemli olan bunlar,13
sen benim sana,13
şey için kim,13
hey onun hakkında,13
istiyor son bir,13
gördüm ve gerçek,13
istiyor ve en,13
bayan lütfen buraya,13
istiyor ve herkes,13
nasıl olduğunu neler,13
çok fazla önemli,13
nasıl olduğunu nasıl,13
sen bir al,13
şey de bilmiyorum,13
şey niye bize,13
gerçekten sen bu,13
bile burada ne,13
önemli olan diğer,13
sen benim neden,13
bir var ama,13
anne ama benim,13
gün için daha,13
gün içinde en,13
ya bana göre,13
önemli tek kişi,13
önemli ve güzel,13
biliyorsun benden çok,13
yüzden sana iki,13
biliyorum biliyorum fakat,13
anne ama burası,13
önemli ve en,13
istiyor onu daha,13
o bize böyle,13
gerçekten gerçekten uzun,13
ya beni bir,13
ve onları öyle,13
çünkü birkaç hafta,13
o olacak ya,13
bile burada olduğunu,13
bir yardım istiyorsun,13
yüzden pek emin,13
vardı ama daha,13
diğer kız çok,13
aman tanrım dinle,13
ve zor olur,13
oh hayır sanırım,13
anne bekle bak,13
vardı ama nasıl,13
tam o şekilde,13
oh harika harika,13
gerçekten neden bu,13
dakika az önce,13
ben kesinlikle yanlış,13
sorun değil izin,13
musun şimdi seni,13
nasıl olduğunu daha,13
seni tekrar insan,13
oh hayır dostum,13
ve para demek,13
bir çocuk dedim,13
sizin bu işte,13
çünkü biri sana,13
ama senden zaten,13
ben kesinlikle onun,13
gördüm ve biraz,13
bir dakika hiçbir,13
oh hayır işte,13
ve zaten ben,13
bir iki belki,13
nasıl olduğunu hep,13
senin orada beni,13
sizi orada gördüm,13
sizin bir işe,13
biliyorum ki hiç,13
şu ne demek,13
nasıl ona benim,13
yüzden pek bir,13
seni her iki,13
şey gördüm çok,13
gerçekten onu neden,13
ama tekrar bir,13
biliyorum lanet olsun,13
da mı daha,13
nasıl onu hiç,13
için sana olan,13
diğer kadın olmak,13
ama aynı kişi,13
oh hayır siz,13
çünkü bunu size,13
seni sonra da,13
vardı da o,13
şey nedir tam,13
şey nedir bu,13
yardım oldu kesinlikle,13
vardı bu kez,13
seni hep seviyorum,13
gerçekten de senden,13
diğer kız ya,13
seni tam oraya,13
gerçekten o değilim,13
seni sonra yine,13
dakika bana onun,13
nasıl ondan bu,13
al sana benim,13
nedir de ne,13
diğer kız da,13
ben insan olarak,13
çünkü burada kimse,13
bak seninle gerçekten,13
al sana ilk,13
gerçekten senin bir,13
sen benim değil,13
şeyler mi olacak,13
gerçekten geliyor mu,13
oh lütfen sadece,13
musun çok geç,13
biliyorsun büyük büyük,13
gördüm bir de,13
çünkü bir işi,13
nedir bu son,13
şu ki çocuklar,13
tabii ki zaman,13
dakika bekle dedim,13
ve yine burada,13
aman çok sağ,13
hey dostum bugün,13
hayır aslında şimdi,13
aman tanrım asla,13
sorun nedir et,13
gerçekten de olmaz,13
için kötü tabii,13
sorun için bir,13
de tam bunun,13
için kötü olduğu,13
olduğunu nasıl biliyor,13
oh sanırım o,13
ya benim bir,13
sorun için mi,13
biliyorum ve yardım,13
biliyorsun bütün o,13
dakika bir şeyler,13
sorun nedir bilmiyorum,13
yüzden onunla ilgili,13
ya bence bu,13
hayır ve öyle,13
gördüm bir şey,13
gün içinde iyi,13
ve yine insan,13
sana şimdi iki,13
anne anne ne,13
de zaten onu,13
vardı daha önce,13
gerçekten de özür,13
zaman ve ben,13
şimdi emin olmak,13
bizi hep bir,13
bana böyle daha,13
al tamam şimdi,13
en fazla onu,13
çünkü burada para,13
ve orada biraz,13
ya ben mi,13
ama onlar geri,13
dakika beni nereden,13
çünkü bunu şimdi,13
olduğunu ne de,13
şeyler vardı değil,13
sana şimdi ve,13
oh işte böyle,13
çünkü burada bu,13
ya benim ki,13
ve yine hepsi,13
ama onlara hiçbir,13
her gece sizi,13
size yapmak istiyorum,13
ve zaten o,13
için lazım oluyor,13
sorun için çok,13
gördüm demek ki,13
anne baba her,13
vardı ama senin,13
da mı benden,13
sana şimdi teşekkür,13
aslında çok iş,13
bayan şu anda,13
kimse oraya geri,13
yüzden o ilk,13
bir zaman orada,13
ve onun buraya,13
bugün pek mutlu,13
ve onun bundan,13
neden öyle yapıyorsun,13
gün içinde sizin,13
şu an izin,13
ve onun bizi,13
ben lanet iyi,13
yüzden o bizim,13
gün içinde senin,13
gerçek sen değil,13
bak sorun her,13
bayan yok mu,13
güzel bunu da,13
nasıl biri olmalı,13
daha fazla demek,13
istiyor ama izin,13
çünkü herkes bir,13
bir dakika eve,13
tanrım dinle beni,13
de çok yeni,13
diğer şeyler hepsi,13
tamam çocuklar yarın,13
diğer şeyler sana,13
önemli biri böyle,13
olsun iyi ne,13
ben o pek,13
olsun için ve,13
çünkü herkes çok,13
önce zaten olmaz,13
bu çocuklar bunun,13
seni gibi bir,13
için peki bunlar,13
gün içinde oldu,13
gerçekten iyi olmak,13
de çok ve,13
gerçek sen olduğunu,13
asla bir neden,13
git ona biraz,13
çünkü hepsi aynı,13
git ondan özür,13
var işte burada,13
hoş şeyler de,13
güzel ne zaman,13
aman tanrım nereye,13
yüzden sen başka,13
her gece iki,13
de seni çocuk,13
beni şimdi hemen,13
çünkü hepsi burada,13
git onlara bak,13
yıl önce diğer,13
güzel neden orada,13
için saat daha,13
bugün orada seni,13
de seni nasıl,13
istiyor musun ben,13
bak bir iş,13
benimle senin kadar,13
gün içinde onları,13
onları seni sadece,13
biliyorum daha yeni,13
ama neden daha,13
için nasıl biri,13
bayan olduğu için,13
var içinde biraz,13
başka herkes orada,13
her gün bayan,13
bugün orada çok,13
biliyorum dedim ya,13
var ve gece,13
tabii çünkü sizin,13
hey o nedir,13
nasıl sen de,13
bunu ben kendi,13
saat ve yer,13
ama aynı adam,13
insan olmak bir,13
kimse onunla böyle,13
zaman söyle onlara,13
hey seni tekrar,13
onu öyle seviyorum,13
bakalım sana neden,13
birini gördüm de,13
niye gidip onunla,13
bu neden sizin,13
ben lanet olsun,13
var haydi gidelim,13
bir zaman zor,13
kimse onun gerçek,13
diğer çocuk ne,13
sanırım seninle bir,13
bir başka kötü,13
gerçekten mutlu değil,13
sana göre belki,13
her yerde ondan,13
ben hala iş,13
sadece biri geri,13
bu ne çok,13
için siz sağ,13
ama bugün tüm,13
onu özel biri,13
benimle gel bir,13
hey seni hiç,13
bak biz senin,13
bunu ben hep,13
gerçekten mi dedim,13
insan olmak bu,13
ben hala her,13
tane bizim için,13
kimse seni aslında,13
ama aynı eski,13
yoksa yine işe,13
başka biri olur,13
aslında buraya sana,13
için sizi mi,13
var ve aynı,13
bunu siz çocuklar,13
sen bize bu,13
de sonra ona,13
hiç öyle olmaz,13
hafta üç gece,13
var ve geri,13
gerçekten iyi olabilir,13
bu çocuklar biraz,13
yoksa yine bir,13
istiyor ama onun,13
var hem daha,13
sen de biri,13
biliyor ya şu,13
bile bunu daha,13
biliyorum ki sorun,13
bak birlikte üç,13
kimse senden böyle,13
tamam çocuklar ne,13
nasıl tek bir,13
çünkü başka birini,13
var ve birlikte,13
insan olduğunu nereden,13
çünkü biz onlara,13
bugün olmaz ama,13
hayır bana şu,13
ve o buradan,13
sizi ben de,13
olarak da size,13
sen bir son,13
çünkü bana pek,13
de senin onunla,13
zaman bu çocuklar,13
ama seni pek,13
ve ve iki,13
hemen hemen ama,13
seni seviyorum seninle,13
var diye böyle,13
ve onun kadar,13
ve ve de,13
mutlu değil değil,13
tabii ki hadi,13
seni ve bizi,13
ve onun hala,13
buna benim gibi,13
ve orada öyle,13
önce sana baba,13
ve şu şu,13
aman tanrım kendi,13
nasıl oldu onu,13
ve onun daha,13
hepsi senin bir,13
zaman önce seni,13
ben olarak geri,13
ve yarın kendini,13
şey vardı onu,13
artık bu hiç,13
seni seviyorum şimdi,13
en harika kız,13
mutlu değilim hem,13
yüzden sen en,13
gerçekten kadın gibi,13
gerçek olduğu yere,13
hoş çocuk var,13
başka biri geri,13
çok az fazla,13
biliyorsun bu bizi,13
hey nasıl böyle,13
önemli olduğunu benden,13
hey nasıl bir,13
mutlu değil fakat,13
de senin tek,13
bilmiyorum çünkü hiçbir,13
şimdi bu bize,13
biliyorsun bunu hiçbir,13
hey bunu diğer,13
seni istiyorum ve,13
bunu size en,13
gerçekten sana nasıl,13
al ve diğer,13
tabii sana olan,13
de tam iki,13
önce senden biraz,13
önemli şey olabilir,13
önce senden izin,13
hey o çocuk,13
şimdi pek emin,13
önemli çünkü dostum,13
önemli çünkü bir,13
ama bugün seninle,13
oh neden bu,13
ama ya ona,13
o bize ne,13
için tüm o,13
ama bize gerçekten,13
nasıl olduğunu sorun,13
şey var şu,13
sen bu bizim,13
yüzden sen biliyor,13
seni seviyorum sonra,13
gerçek sadece bir,13
çünkü biz geri,13
hey bunu sana,13
ama bugün sen,13
aslında çok uzun,13
zaman önce seninle,13
senin tüm bu,13
bir gerçek vardı,13
gerçekten hiç adam,13
sen bir sorun,13
gerçekten her yere,13
önce seninle neden,13
seni seviyorum kim,13
tabii çünkü her,13
olsun istiyorum falan,13
bir iki çocuk,13
insan sen de,13
gerçekten hem de,13
sadece siz çok,13
gerçek ve büyük,13
tanrım ben daha,13
sizi yine de,13
için sadece daha,13
şeyler hem de,13
hey o benden,13
için sadece onları,13
için nasıl iyi,13
bir zaman ya,13
zaman önce hem,13
de seni yemek,13
bu çocuklar son,13
bir şeyler işe,13
sen bir söz,13
dakika oldu bile,13
beni şimdi iyi,13
bu çocuklar sen,13
sizi tekrar tekrar,13
için teşekkürler al,13
biliyorum eğer beni,13
de sorun ben,13
hoş ve mutlu,13
istiyor fakat kimse,13
olduğunu hakkında bir,13
şey o her,13
şeyler bunlar böyle,13
yüzden sen çok,13
bir ya iki,13
sorun olduğunu bilmiyorum,13
için teşekkürler tekrar,13
gerçek yapmak için,13
biliyorsun bu hafta,13
sen bugün biraz,13
çünkü hâlâ burada,13
de seninle onun,13
sen bu küçük,13
şu ki burası,13
güzel ne kadar,13
gerçekten iş var,13
biliyorum biliyorum çok,13
oh pekala seni,13
al ve büyük,13
hiçbir yere yok,13
olduğunu hakkında hiçbir,13
gerçek ve şu,13
hey şu küçük,13
önemli bir çok,13
onu hiç görmek,13
de seninle ve,13
insan ve birkaç,13
için sadece bana,13
en güzel yerde,13
ama o kontrol,13
mutlu olmaz mı,13
ve yarın sen,13
şeyi buraya mı,13
çünkü bana biraz,13
ve yarın sana,13
insan vardı ki,13
yere kadar mı,13
işi sana mı,13
adam bekle bir,13
mi onlar gibi,13
da neden olduğu,13
yıl sonra diğer,13
haydi şu işe,13
bile ne demek,13
edin siz de,13
bir bak hiç,13
benimle kimse böyle,13
an beni görmek,13
o kadın zaten,13
ben senden sen,13
bilmiyorum bilmiyorum işte,13
bak artık o,13
tabii de ben,13
tam bir doktor,13
ona kim para,13
iyi bilmiyorum efendim,13
küçük şey gibi,13
yüzden hepsi buraya,13
küçük şeyler onun,13
sağ olsun bizi,13
doktor burada mı,13
gece bir şeyi,13
ya şu ne,13
için harika ve,13
sadece de ki,13
istiyorsun al işte,13
bir dakika üç,13
yer yok orada,13
ya şu kadın,13
sağ olsun o,13
az önce artık,13
zaman seninle nasıl,13
şu güzel kadın,13
ve lütfen artık,13
sağ olsun beni,13
bak artık çok,13
ediyorum ama benim,13
da birlikte al,13
gece bir çok,13
istiyorsun ama sana,13
gece birkaç tane,13
göre onlar sadece,13
istiyorsun demek oluyor,13
bir şeyler onları,13
benden bir iş,13
çok insan onları,13
bir bayan olmak,13
istiyorsun git de,13
gece bizi nereye,13
peki sizi iyi,13
ona kim ne,13
benden bile az,13
doktor yeni bir,13
şey oldu şimdi,13
birkaç kişi büyük,13
geç ya çok,13
bize geldi ama,13
tamam ama herkes,13
ve ona başka,13
bile yok dostum,13
bak artık daha,13
git çünkü zaman,13
böyle mi peki,13
de sen nasıl,13
senin zaten onun,13
göre onlar senin,13
sonra da bilmiyorum,13
her şeyi için,13
o kadın sen,13
gerek yok önemli,13
doktor en iyi,13
de sen kendini,13
seni için çok,13
istiyorsun ama artık,13
böyle mi görmek,13
yani emin misin,13
herkes harika biri,13
ben sanırım onu,13
ya şu uzun,13
doktor ne söyledi,13
ama iki iyi,13
ve tüm kötü,13
doktor kaç tane,13
edin bu size,13
olsun o şekilde,13
peki tamam bunu,13
edin bu ne,13
peki tamam en,13
ama eğer söz,13
için harika birini,13
peki tamam belki,13
önce her an,13
doktor ne demek,13
de seni değil,13
hey bakın bana,13
dedim ama artık,13
doktor musun sen,13
zaman önce bay,13
da bize başka,13
sağ ol hiç,13
şimdi oldu dostum,13
sen daha önemli,13
hey bakın ben,13
önce hep yapmak,13
yani eminim ki,13
sağ ol hadi,13
de seni aynı,13
bak ben bundan,13
sonra da bence,13
yoksa bütün bunlar,13
çünkü sen geri,13
herkes görmek için,13
olan ne için,13
edin bu güzel,13
sağ olarak daha,13
edin sonra da,13
benden bir şekilde,13
da bize iyi,13
ya şimdi nasıl,13
olan kız nerede,13
ve bana bırak,13
daha fazla ondan,13
yoksa bunun işe,13
biraz geç oluyor,13
edin teşekkür ederim,13
gece bu sadece,13
şu kadar olsun,13
gece buna devam,13
de gel hadi,13
ben senden nasıl,13
edin ve lütfen,13
gece beni sen,13
onun buna izin,13
olduğunu tek tek,13
biraz güzel şeyler,13
da biz hala,13
her ne oldu,13
başka hiç çocuk,13
kadar zaman olduğu,13
anda herkes biraz,13
hemen gidip başka,13
gereken adam burada,13
sen daha mutlu,13
hem bunu daha,13
gece benim değil,13
tanrım senin ne,13
ben senden istiyorum,13
hala senin o,13
ve bana nereye,13
oluyor ben böyle,13
harika şimdi bir,13
ben senin kendi,13
kişi burada ve,13
gece için olsun,13
doktor olarak da,13
ne kız mı,13
seninle de ilgili,13
hem burada daha,13
gece için orada,13
şey bilmiyorum çünkü,13
seninle de iyi,13
ama fazla geri,13
olsun öyle değil,13
nasıl önce ona,13
geri ver lanet,13
nasıl önemli olabilir,13
kadar yani ha,13
işe seni de,13
hey al bu,13
de yarın bir,13
bir bak onlara,13
peki sonra tekrar,13
harika şeyler olacak,13
biliyorum ve asla,13
kişi daha gerek,13
git ve nasıl,13
de sen yapmak,13
ondan kaç tane,13
önce gidelim artık,13
benden neden o,13
hadi herkes beni,13
bakalım daha başka,13
kişi daha olmalı,13
mutlu olacak biri,13
kişi daha oldu,13
buradan haydi hemen,13
yapma ya özür,13
zor mu olur,13
ediyor ve sonra,13
kadar uzun olur,13
da bizim bir,13
olduğunu ve şimdi,13
yer seni çok,13
kişi de bu,13
kadar ve ben,13
bakın öyle ya,13
ondan iyi iş,13
gerek ama sonra,13
kişi gerçekten de,13
doktor olarak onun,13
ondan iyi kimse,13
gerek ama sağ,13
onun hakkında kimse,13
çok güzel haydi,13
kişi de onunla,13
şeyler oluyor bu,13
gece için sizi,13
geç o da,13
oluyor ama bunlar,13
kişi dışarı geliyor,13
seni kimse burada,13
ama şu eski,13
istiyorum ama senin,13
git beni orada,13
ama gerçekten ona,13
geç o kadar,13
biliyorum o biraz,13
zor mu oluyor,13
bir kişi fazla,13
hayır yine aynı,13
onu görmek her,13
hiç değil ama,13
ediyor ama ya,13
ediyor ama onun,13
doktor yarın eve,13
şey en çok,13
gece için ben,13
bak aynı şey,13
seninle mi emin,13
ben seviyorum diye,13
gece için iki,13
bir şeyler pek,13
ediyorum da gerçekten,13
doktor öyle söyledi,13
devam et son,13
işe ne oldu,13
olsun yeni bir,13
şey şu sen,13
doktor şimdi sizi,13
ama şu güzel,13
o hep en,13
sadece daha zor,13
ve ona ilk,13
ediyor ama ona,13
gece iki ile,13
göre sanırım iyi,13
zor hepsi bu,13
ediyorum da sadece,13
gün bile bir,13
ve bana onları,13
seninle ne çok,13
da yine bir,13
benden iyi olduğu,13
gün bile bana,13
ama seni tek,13
ona kesinlikle çok,13
sonra da pek,13
da yine aynı,13
ediyorum iyi bir,13
sanırım geç bir,13
ediyorum da hiçbir,13
gün ama üç,13
mutlu olduğu yer,13
seninle onunla ilgili,13
ve ona eve,13
gece herkes bir,13
onun hakkında şeyler,13
seninle o yüzden,13
ben size onun,13
iyi bak yarın,13
şey yine bana,13
adam da onlar,13
olan nedir efendim,13
harika şeyler için,13
gün kontrol ediyorum,13
harika şeyler oluyor,13
hadi hemen bir,13
seninle olan her,13
az önce al,13
de senden benim,13
ondan geliyor demek,13
gece hiç eve,13
geç kim olduğunu,13
benden iki kez,13
hayır eğer o,13
göre pek fazla,13
ediyor en çok,13
ona kendini kötü,13
gece hakkında bana,13
burada asla iş,13
bir bak tam,13
hayır fakat bak,13
en küçük şeyler,13
göre saat bir,13
tatlım bu sana,13
ama gerçekten onları,13
hadi hâlâ bir,13
bize geri mi,13
seninle iş yapma,13
gerçekten bunu ona,13
ama adam hayır,13
onun biri benim,13
bak iki gün,13
kez gördüm onu,13
gün benimle aynı,13
sana öyle iyi,13
ama her nerede,13
kez ilk kez,13
şu her şey,13
beni adam gibi,13
de hepsi benim,13
ve hep daha,13
şimdi de olacak,13
ama hala doğru,13
dinle şimdi seni,13
oh evet içinde,13
ama adam hala,13
tam buraya tam,13
efendim efendim çocuk,13
bak bana her,13
ama bence tam,13
yer ve ne,13
çok zor fakat,13
ama eve böyle,13
oh evet en,13
şey onun da,13
hepsi orada ve,13
de herkes bizi,13
her eve lazım,13
gece tekrar geri,13
ama belki hiç,13
küçük değil sanırım,13
dinle ve şu,13
ama adam gerçekten,13
özel olarak beni,13
de hep var,13
ve hep beni,13
fakat fazla önemli,13
sonra eve doğru,13
fakat neden bir,13
bilmiyorum biraz daha,13
olan şey büyük,13
ama bunlar eski,13
oh eminim ki,13
olsun o bizim,13
için birkaç söz,13
bir iyi şey,13
iki kişi hala,13
sadece bu olduğunu,13
ve herkes kadar,13
efendim bunu hemen,13
bu zaten oldu,13
de sana içinde,13
fakat onlar bir,13
şey çünkü bana,13
efendim bunu da,13
de her insan,13
dinle şimdi bu,13
dinle yani her,13
size başka şey,13
tam burada bizi,13
olsun neden böyle,13
olan şey bunlar,13
şu sen bir,13
efendim bunu bana,13
için birkaç güzel,13
oh evet bak,13
yoksa kendini öyle,13
ben seni yeni,13
bunun benim tek,13
ben burada yardım,13
dinle şey için,13
seni benden önce,13
bilmiyorum biz sadece,13
bilmiyorum biraz önce,13
adam da benimle,13
beni al lütfen,13
göre her yer,13
oh hala çok,13
hafta ve sen,13
harika bir işe,13
şimdi harika oldu,13
şu uzun çocuk,13
size benim bir,13
göre her insan,13
efendim ben değilim,13
bizim için yapmak,13
bütün gün ondan,13
biliyorum ama teşekkür,13
göre hem de,13
kez daha sorun,13
yani biz yani,13
fakat her gece,13
da mı görmek,13
üç kez yere,13
o kadar tekrar,13
için hemen yarın,13
daha fazla vardı,13
yani biz seni,13
yıl sonra eve,13
yani biz sizi,13
kez daha mutlu,13
senin benimle ilgili,13
iki beni var,13
şimdi de olduğu,13
için hemen yardım,13
bak bana bana,13
kez daha senden,13
hey baba bizi,13
önce o kız,13
bunun bana hiç,13
nedir seni böyle,13
efendim ben ben,13
kez daha tatlım,13
ve hep yanlış,13
efendim bu size,13
fakat eğer ki,13
efendim efendim beni,13
sağ bir şekilde,13
fakat eğer o,13
şimdi bunu görmek,13
hemen şimdi yoksa,13
nedir ve nerede,13
için biri bana,13
yoksa kimse bize,13
önce neden hiçbir,13
ama gidip de,13
böyle yardım et,13
fakat efendim bugün,13
fakat eğer ben,13
için yarın bizi,13
yani bu hep,13
efendim bir ilk,13
ama onun bütün,13
bana tekrar bir,13
fakat işte bu,13
için yarın buraya,13
onları yok ederim,13
onun diğer özel,13
fakat herkes ona,13
olduğunu pek bilmiyorum,13
önce ne diye,13
ve hep onunla,13
olan şey hala,13
anda geri mi,13
yoksa kim olduğunu,13
ama bence var,13
oh evet bayan,13
kadar yıl nasıl,13
gece de pek,13
işe devam dostum,13
misin evet ya,13
bak ben tam,13
için öyle tabii,13
oluyor ya burada,13
seni şey için,13
için öyle yapmak,13
benden en büyük,13
göre sen her,13
çok küçük ne,13
geç buraya bir,13
peki mutlu musun,13
hazır ve sizi,13
oluyor bu böyle,13
işe bir saat,13
göre seni bir,13
ama ne büyük,13
göre sen bunu,13
göre size göre,13
sana özel değil,13
benden de burada,13
aynı şeyler bana,13
de sana zaman,13
gerek küçük bir,13
ben senin böyle,13
oh evet son,13
devam etmek gibi,13
bunun benimle onun,13
iyi yoksa böyle,13
tam burada her,13
artık tek sen,13
da çocuk için,13
misin görmek istiyorum,13
olan şey ondan,13
size bir izin,13
gece daha önce,13
de seni bana,13
sanırım kız bize,13
kadar zor ne,13
gece de olacak,13
mutlu mu olacak,13
ama şu çocuk,13
artık bir gün,13
gece de olmak,13
hem şunu da,13
ben sen bunun,13
çocuklar yine mi,13
yer yok biliyorsun,13
gece de olur,13
yoksa böyle iyi,13
kadar zor bilmiyorum,13
şey değil ondan,13
sağ ol onu,13
yüzden ilk onun,13
şunu ve bunu,13
dedim ama benim,13
iyi çok az,13
bu zaman çok,13
yeni üç tane,13
gerek son bir,13
şeyler gerçek değil,13
benden de değil,13
göre senden çok,13
tatlım bu büyük,13
önce hep birlikte,13
geç bizi de,13
şey bak bunu,13
de gel ve,13
geç diye bir,13
her iki üç,13
gece değil bu,13
de seni büyük,13
benim değil tüm,13
şey onu hiç,13
bir özür bir,13
buradan şu anda,13
olarak ne olur,13
benim değil efendim,13
bile bir dakika,13
bana bunu yine,13
gerek ve bize,13
şimdi onu bile,13
şeyler onlar için,13
için birkaç bir,13
olarak ne peki,13
teşekkür edin çocuklar,13
bunun bile bir,13
bana bunun da,13
şimdi de harika,13
iyi yemek nerede,13
ben senin hâlâ,13
misin artık şu,13
ben burada olur,13
misin lütfen tatlım,13
iki kişi son,13
hemen şimdi yere,13
ve herkes tekrar,13
biliyorum ama sizin,13
ya da gidelim,13
fakat kesinlikle kabul,13
efendim burası iyi,13
gün beni bir,13
fakat kesinlikle çok,13
olan şey birlikte,13
tabii daha sonra,13
gece burada yemek,13
misin ben miyim,13
hayır aslında iki,13
onun bir iş,13
ve herkes onları,13
ama belki bize,13
bir dakika niye,13
da mı onun,13
de hiç gerek,13
iki kez yapma,13
misin ki onunla,13
çok bir şekilde,13
aslında bir kişi,13
benim değil tamam,13
şey yemek yemek,13
tekrar sana geri,13
onun bir sorun,13
devam etmek de,13
oluyor ve her,13
ben senin bunu,13
de sana var,13
göre size yardım,13
aynı şeyler oldu,13
yani bu biz,13
efendim ama size,13
an bana tek,13
gün beni eve,13
bir de karşı,13
tanrım bana neler,13
misin bir kaç,13
çok bir adam,13
hala aynı kişi,13
tamam ama siz,13
tekrar sizi görmek,13
ama eğer sorun,13
ama efendim onları,13
için özür de,13
göre senin kadar,13
hala son bir,13
bugün siz onun,13
hiç her şeyi,13
efendim aslında daha,13
ve bakın bana,13
bize göre her,13
gün bana baba,13
biliyor ve sana,13
ama artık anne,13
de var yine,13
sonra kimse bizim,13
iyi bir teşekkür,13
biraz küçük geldi,13
peki onu ben,13
sonra kimse bu,13
ve çocuklar şu,13
ben hiç onları,13
bir değil de,13
kimse bir yer,13
sanırım iki kez,13
bir değil birkaç,13
efendim yeni şeyler,13
kadar çok harika,13
en kötü lanet,13
hiçbir şekilde onunla,13
olsun hep öyle,13
sonra kimse senin,13
biliyorum sana her,13
ve mutlu olduğu,13
eski bir kötü,13
sana göre burada,13
bir değil ki,13
beni bekle ben,13
kadar çocuk var,13
böyle oluyor hep,13
kimse benim küçük,13
sen büyük yardım,13
ve çok eminim,13
bu onun bütün,13
değil bir an,13
niye hiç söz,13
ne kadar sizi,13
yapmak istemiyorum ben,13
kimse bir işi,13
seni neden hâlâ,13
ama mutlu olmak,13
tek ben o,13
yıl içinde ben,13
yani burası zaten,13
yemek olan bir,13
değil de burası,13
güzel olan ben,13
bir tek kendi,13
hadi dostum ben,13
böyle olmaz değil,13
ben sana son,13
mi öyle oldu,13
ama sen et,13
yani buraya daha,13
güzel tamam o,13
ama sen eski,13
hadi dostum bunu,13
seni onu ve,13
efendim şimdi olmaz,13
değil bırak beni,13
yani burada kimse,13
kadar çok demek,13
değil bunu da,13
biliyorum pek güzel,13
bu onun asla,13
hala nasıl bir,13
sizi istiyor efendim,13
